YEAR,DOY,HOUR,MINUTE,MAGNETOPAUSE(MP)/BOW Shock(BS),,X KSM(Rs),Y KSM(Rs),Z KSM(Rs)
2004,179,9,46,BS,Inbound,22.42,-43.51,-4.36
2004,179,18,4,BS,Inbound,21.1,-40.17,-3.83
2004,179,10,28,BS,Outbound,22.31,-43.23,-4.31
2004,179,20,0,BS,Outbound,20.79,-39.39,-3.71
2004,180,0,18,BS,Inbound,20.09,-37.63,-3.44
2004,180,5,38,BS,Inbound,19.28,-35.6,-3.13
2004,180,18,43,MP,Inbound,16.97,-29.86,-2.24
2004,180,19,53,MP,Inbound,16.77,-29.35,-2.17
2004,180,20,27,MP,Inbound,16.67,-29.12,-2.13
2004,180,21,9,MP,Inbound,16.54,-28.79,-2.08
2004,180,21,56,MP,Inbound,16.4,-28.45,-2.03
2004,180,2,57,BS,Outbound,19.65,-36.53,-3.27
2004,180,18,49,MP,Outbound,16.95,-29.81,-2.24
2004,180,20,23,MP,Outbound,16.68,-29.13,-2.13
2004,180,20,44,MP,Outbound,16.61,-28.98,-2.11
2004,180,21,32,MP,Outbound,16.47,-28.62,-2.06
2004,180,23,7,MP,Outbound,16.18,-27.92,-1.95
2004,181,2,43,MP,Inbound,15.52,-26.3,-1.71
2004,189,16,15,BS,Inbound,-8.06,-51.41,-21.45
2004,189,14,5,BS,Outbound,-8.08,-50.95,-21.3
2004,189,21,46,BS,Outbound,-8.03,-52.57,-21.83
2004,190,0,30,BS,Inbound,-8.01,-53.14,-22.02
2004,190,10,56,BS,Inbound,-7.94,-55.26,-22.71
2004,190,4,13,BS,Outbound,-7.99,-53.9,-22.27
2004,190,11,54,BS,Outbound,-7.93,-55.46,-22.77
2004,194,5,12,BS,Outbound,-7.07,-71.46,-27.84
2004,196,3,11,BS,Inbound,-6.53,-78.52,-29.99
2004,196,6,59,BS,Outbound,-6.48,-79.08,-30.16
2004,299,6,15,BS,Inbound,22.73,-18.74,6.62
2004,299,12,22,BS,Inbound,21.92,-16.76,6.83
2004,299,6,48,BS,Outbound,22.66,-18.57,6.64
2004,300,6,58,MP,Inbound,18.93,-10.33,7.31
2004,300,7,32,MP,Inbound,18.82,-10.12,7.32
2004,300,10,42,MP,Inbound,18.2,-8.95,7.36
2004,300,7,13,MP,Outbound,18.88,-10.24,7.32
2004,300,8,21,MP,Outbound,18.67,-9.82,7.33
2004,308,18,18,MP,Inbound,-9.36,-42.17,-16.08
2004,308,14,34,MP,Outbound,-9.57,-41.41,-16
2004,308,20,0,MP,Outbound,-9.26,-42.51,-16.12
2004,309,1,16,MP,Inbound,-8.96,-43.54,-16.22
2004,309,18,51,MP,Outbound,-7.83,-47,-16.51
2004,309,22,41,BS,Outbound,-7.55,-47.5,-16.47
2004,310,3,34,BS,Inbound,-7.24,-48.35,-16.53
2004,310,17,33,BS,Inbound,-6.36,-50.67,-16.65
2004,310,13,36,BS,Outbound,-6.61,-50.02,-16.62
2004,311,7,44,BS,Inbound,-5.44,-52.87,-16.73
2004,311,23,1,BS,Inbound,-4.44,-55.1,-16.77
2004,311,4,41,BS,Outbound,-5.64,-52.41,-16.72
2004,311,14,36,BS,Outbound,-4.99,-53.89,-16.75
2004,312,12,43,BS,Outbound,-3.53,-56.97,-16.76
2004,345,9,7,BS,Inbound,25.66,-29.16,6.36
2004,345,13,24,BS,Inbound,25.4,-28.13,6.48
2004,345,15,46,BS,Inbound,25.24,-27.56,6.54
2004,345,10,20,BS,Outbound,25.59,-28.87,6.39
2004,345,15,18,BS,Outbound,25.27,-27.67,6.53
2004,345,18,17,BS,Outbound,25.07,-26.95,6.61
2004,346,23,36,BS,Inbound,22.49,-19.17,7.22
2004,347,7,42,BS,Inbound,21.54,-16.8,7.32
2004,347,4,3,BS,Outbound,21.99,-17.88,7.28
2004,348,2,34,MP,Inbound,18.75,-10.86,7.34
2004,348,5,27,MP,Inbound,18.23,-9.89,7.3
2004,348,3,46,MP,Outbound,18.54,-10.46,7.32
2004,356,20,16,MP,Outbound,0.46,-44.75,-4.04
2004,358,20,37,BS,Outbound,4.78,-50.53,-2.6
2004,359,9,23,BS,Inbound,5.89,-51.71,-2.2
2004,360,4,45,BS,Outbound,7.55,-53.25,-1.58
2004,361,1,14,BS,Inbound,9.25,-54.58,-0.92
2004,361,1,26,BS,Outbound,9.27,-54.59,-0.91
2005,3,19,4,BS,Inbound,22.84,-52.74,5.54
2005,4,5,48,BS,Inbound,23.28,-51.93,5.82
2005,4,2,34,BS,Outbound,23.15,-52.18,5.74
2005,4,21,36,BS,Outbound,23.88,-50.62,6.22
2005,22,19,50,MP,Outbound,-1.2,-44.41,-4.69
2005,24,6,55,BS,Inbound,1.81,-48.93,-3.74
2005,24,3,1,BS,Outbound,1.47,-48.48,-3.85
2005,24,14,22,BS,Outbound,2.45,-49.75,-3.52
2005,27,16,1,BS,Inbound,8.54,-55.4,-1.25
2005,27,16,13,BS,Outbound,8.55,-55.41,-1.24
2005,42,7,52,BS,Inbound,24.37,-32.65,8.09
2005,42,19,30,BS,Inbound,24.08,-30.33,8.17
2005,42,8,22,BS,Outbound,24.36,-32.55,8.09
2005,44,16,38,MP,Inbound,21.72,-19.82,8.06
2005,54,23,7,MP,Inbound,11.87,-39.17,4.94
2005,54,23,44,MP,Inbound,11.93,-39.2,4.96
2005,54,22,55,MP,Outbound,11.85,-39.16,4.93
2005,54,23,18,MP,Outbound,11.89,-39.18,4.94
2005,54,23,51,MP,Outbound,11.94,-39.21,4.97
2005,55,0,24,MP,Inbound,12,-39.23,4.99
2005,55,0,26,MP,Outbound,12,-39.23,4.99
2005,55,8,46,BS,Outbound,12.84,-39.54,5.33
2005,60,7,31,BS,Inbound,21.61,-36.24,8.86
2005,60,16,6,BS,Outbound,21.96,-35.45,9
2005,63,16,7,BS,Inbound,22.79,-25.68,9.32
2005,64,16,40,BS,Inbound,21.89,-20.92,8.94
2005,64,18,39,BS,Inbound,21.78,-20.49,8.9
2005,64,17,3,BS,Outbound,21.87,-20.83,8.93
2005,65,21,49,MP,Inbound,19.57,-14.08,7.99
2005,66,1,23,MP,Inbound,19.16,-13.14,7.82
2005,66,4,25,MP,Inbound,18.77,-12.32,7.66
2005,66,0,17,MP,Outbound,19.29,-13.43,7.87
2005,66,2,5,MP,Outbound,19.07,-12.95,7.78
2005,72,11,9,MP,Outbound,3.34,-32.23,1.38
2005,73,22,40,BS,Inbound,7.64,-36.76,3.13
2005,73,19,25,BS,Outbound,7.27,-36.43,2.97
2005,73,23,47,BS,Outbound,7.77,-36.86,3.18
2005,74,0,1,BS,Inbound,7.79,-36.88,3.19
2005,74,2,42,BS,Inbound,8.09,-37.13,3.31
2005,74,3,46,BS,Inbound,8.22,-37.23,3.36
2005,74,7,11,BS,Inbound,8.61,-37.53,3.52
2005,74,12,1,BS,Inbound,9.15,-37.93,3.74
2005,74,0,50,BS,Outbound,7.9,-36.97,3.23
2005,74,3,19,BS,Outbound,8.17,-37.19,3.34
2005,74,5,38,BS,Outbound,8.43,-37.4,3.45
2005,74,10,17,BS,Outbound,8.96,-37.79,3.66
2005,74,15,12,BS,Outbound,9.5,-38.17,3.88
2005,75,2,49,BS,Inbound,10.76,-38.94,4.39
2005,75,2,29,BS,Outbound,10.72,-38.92,4.38
2005,75,22,7,BS,Outbound,12.74,-39.84,5.19
2005,76,1,53,BS,Inbound,13.11,-39.96,5.34
2005,76,8,31,BS,Outbound,13.74,-40.14,5.6
2005,77,23,8,BS,Inbound,17.09,-40.19,6.95
2005,78,8,21,BS,Inbound,17.8,-39.97,7.24
2005,78,2,35,BS,Outbound,17.36,-40.12,7.06
2005,79,8,17,BS,Inbound,19.45,-38.99,7.9
2005,79,14,40,BS,Inbound,19.84,-38.64,8.05
2005,79,2,11,BS,Outbound,19.05,-39.3,7.74
2005,79,9,20,BS,Outbound,19.51,-38.94,7.92
2005,79,17,23,BS,Outbound,20,-38.47,8.12
